Project Name,Google Search Spent,Google Search Lead,Google Search CPL,Google Discovery Spent,Google Discovery Lead,Google Discovery CPL,Google Total Spent,Google Total Lead,Google Total CPL,Facebook Spent,Facebook Leads,Facebook CPL,Taboola Ads Spent,Taboola Ads Lead,Taboola Ads CPL,TOTAL Spent,TOTAL Leads,TOTAL CPL
Prestige Kollur,,0.0,,0.0,,,,,,50204.0,175.0,287.0,181570.54000000004,464.0,391.0,231774.54,639.0,363.0
Prestige Spring Height,125472.01,50.0,2509.0,18721.379999999997,28.0,669.0,144193.39,78.0,1849.0,,,,2023.59,1.0,2024.0,146216.97999999998,79.0,1851.0
Ramky Eminent Rajendranagar,0.0,0.0,,13969.79,13.0,1075.0,13969.79,13.0,1075.0,,,,,,,13969.79,13.0,1075.0
Total,1182870.9,308.0,3840.0,295038.68000000005,215.0,1372.0,1477909.58,523.0,2826.0,116482.37,388.0,300.0,246395.88,529.0,466.0,1840787.83,1440.0,1278.0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Project Name,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Arvind Vadodara-Vadodara,,0.0,,0.0,,,,,,2675.77,4.0,669.0,,,,2675.77,4.0,669.0
Samanvay Vaishali ,,0.0,,0.0,,,,,,2686.55,12.0,224.0,,,,2686.55,12.0,224.0
Samurai Jewel,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Shubhashish Forest SEZ,2115.25,7.0,302.0,2974.4799999999996,17.0,175.0,5089.73,24.0,212.0,17309.0,89.0,194.0,8966.980000000001,58.0,155.0,31365.709999999995,171.0,183.0
Shubhashish Marina Jagatpura,3900.79,7.0,557.0,5776.19,22.0,263.0,9676.98,29.0,334.0,18400.47,98.0,188.0,9913.27,24.0,413.0,37990.72,151.0,252.0
Shubhashish Prakesh,,0.0,,0.0,,,,,,8592.14,20.0,430.0,,,,8592.14,20.0,430.0
Shubhashish Indore Plots,,0.0,,0.0,,,,,,7057.73,52.0,136.0,2201.69,6.0,367.0,9259.42,58.0,160.0
Suncity Jewel of India,,0.0,,0.0,,,,,,9314.29,73.0,128.0,,,,9314.29,73.0,128.0
Vardhman Eminara,,0.0,,0.0,,,,,,9263.529999999999,37.0,250.0,,,,9263.529999999999,37.0,250.0
Total,6016.04,14.0,430.0,8750.67,39.0,224.0,14766.71,53.0,279.0,72773.16,376.0,194.0,21081.94,88.0,240.0,108621.80999999998,517.0,210.0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Project Name,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Baner NX Generic,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Birla Evam,164873.62999999998,44.08,3740.0,298260.15,183.15,1629.0,463133.77999999997,227.23000000000002,2038.0,208762.97999999998,508.0,411.0,21488.4,20.0,1074.0,693385.1599999999,755.23,918.0
Birla Evam Manjri 2nd PPC (BLR),,0.0,,0.0,,,,,,761.0,0.0,,,,,761.0,0.0,
Birla Generic,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Birla Punya,787158.0800000001,262.92,2994.0,214594.74000000005,258.93,829.0,1001752.8200000001,521.85,1920.0,331699.26000000007,513.0,647.0,49152.45999999999,42.0,1170.0,1382604.54,1076.85,1284.0
G BlueRidge Ph -1 Pune ₹83 lakhs,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Gera Hinjewadi ,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
K Raheja Mahalunge,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Kohinoor Central Park,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Kohinoor Regalia Towers,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Kohinoor Royale Tower/Riverside,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Lodha Altero,277785.48,37.0,7508.0,30526.070000000003,71.0,430.0,308311.55,108.0,2855.0,26392.130000000005,41.0,644.0,16775.100000000002,10.0,1678.0,351478.77999999997,159.0,2211.0
Lodha Camelot,25653.46,0.0,,0.0,,,25653.46,0.0,,46753.22,45.0,1039.0,3515.13,1.0,3515.0,75921.80999999998,46.0,1650.0
Lodha Estilo,11661.039999999999,0.0,,3005.71,0.0,,14666.75,0.0,,13458.0,140.0,96.0,1422.2,2.0,711.0,29546.95,142.0,208.0
Lodha Hinjewadi Phase 3,114857.08,25.0,4594.0,111060.98000000001,94.0,1181.0,225918.06,119.0,1898.0,74448.76999999999,87.0,856.0,33697.85,28.0,1203.0,334064.68000000005,234.0,1428.0
Lodha Kharadi,,0.0,,0.0,,,,,,5276.21,7.0,754.0,,,,5276.21,7.0,754.0
Lodha Massimo,260802.1,36.0,7245.0,5377.329999999998,0.0,,266179.43,36.0,7394.0,15412.999999999998,22.0,701.0,13893.590000000002,6.0,2316.0,295486.01999999996,64.0,4617.0
Lodha Magnus,232422.06,48.0,4842.0,63953.21,23.689999999999998,2700.0,296375.26999999996,71.69,4134.0,41831.61,35.0,1195.0,248.69,1.0,249.0,338455.57,107.69,3143.0
Lodha Panache,70462.76000000001,9.0,7829.0,18783.84,9.0,2087.0,89246.6,18.0,4958.0,62696.96000000001,73.0,859.0,17710.710000000003,14.0,1265.0,169654.27,105.0,1616.0
Lodha Phase 1 Generic,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Mahindra Citadel,88901.99,25.0,3556.0,25671.42000000001,14.0,1834.0,114573.40999999999,39.0,2938.0,12905.720000000001,8.0,1613.0,19031.22,30.0,634.0,146510.35000000003,77.0,1903.0
Mahindra Happinest Tathawade,865.44,0.0,,0.0,,,865.44,0.0,,19956.58,40.0,499.0,,,,20822.02,40.0,521.0
Mahindra Ivylush,91674.79000000001,21.5,4264.0,49317.27,26.5,1861.0,140992.06000000003,48.0,2937.0,63055.88999999999,54.0,1168.0,19423.199999999997,17.0,1143.0,223471.15,119.0,1878.0
Mahindra Commercial Pune,33550.06,37.0,907.0,24959.260000000002,11.0,2269.0,58509.32000000001,48.0,1219.0,34864.369999999995,133.0,262.0,,,,93373.69,181.0,516.0
Saheel Landmarc,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Saheel Vesta,7903.79,4.0,1976.0,0.0,,,7903.79,4.0,1976.0,,,,,,,7903.79,4.0,1976.0
Shapoorji Joyville Celestia ,183214.68000000002,51.96,3526.0,0.0,0.0,,183214.68000000002,51.96,3526.0,22538.71,35.0,644.0,16758.859999999997,23.0,729.0,222512.25,109.96,2024.0
Shapoorji Pallonji Golfland Vanaha/Verdant,579143.8699999999,142.94,4052.0,11798.130000000003,44.0,268.0,590941.9999999999,186.94,3161.0,71340.98000000001,230.0,310.0,57247.630000000005,56.0,1022.0,719530.6099999998,472.94,1521.0
Shapoorji Pallonji Plots,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Shapoorji Sensorium,11454.39,1.0,11454.0,0.0,,,11454.39,1.0,11454.0,4186.79,2.0,2093.0,,,,15641.18,3.0,5214.0
